"","resource","time","server","queue","capacity","queue_size","system","limit","replication"
"1","sobarica",0,2,0,4,Inf,2,Inf,1
"2","sobarica",0,4,0,4,Inf,4,Inf,1
"3","sobarica",0,4,2,4,Inf,6,Inf,1
"4","sobarica",0,4,4,4,Inf,8,Inf,1
"5","sobarica",0,4,6,4,Inf,10,Inf,1
"6","sobarica",0,4,8,4,Inf,12,Inf,1
"7","sobarica",0,4,10,4,Inf,14,Inf,1
"8","sobarica",0,4,12,4,Inf,16,Inf,1
"9","sobarica",0,4,14,4,Inf,18,Inf,1
"10","sobarica",0,4,16,4,Inf,20,Inf,1
"11","sobarica",30,4,18,4,Inf,22,Inf,1
"12","sobarica",30,4,20,4,Inf,24,Inf,1
"13","sobarica",30,4,22,4,Inf,26,Inf,1
"14","sobarica",30,4,24,4,Inf,28,Inf,1
"15","sobarica",31.9466992895595,4,22,4,Inf,26,Inf,1
"16","soba",31.9466992895595,0,0,1,Inf,0,Inf,1
"17","sobarica",45.404118862751,4,20,4,Inf,24,Inf,1
"18","soba",45.404118862751,0,0,2,Inf,0,Inf,1
"19","sobarica",54.1084562001217,4,18,4,Inf,22,Inf,1
"20","soba",54.1084562001217,0,0,3,Inf,0,Inf,1
"21","sobarica",83.5629572493131,4,16,4,Inf,20,Inf,1
"22","soba",83.5629572493131,0,0,4,Inf,0,Inf,1
"23","sobarica",85.1629293892863,4,14,4,Inf,18,Inf,1
"24","soba",85.1629293892863,0,0,5,Inf,0,Inf,1
"25","sobarica",94.0189133294367,4,12,4,Inf,16,Inf,1
"26","soba",94.0189133294367,0,0,6,Inf,0,Inf,1
"27","sobarica",123.02282892186,4,10,4,Inf,14,Inf,1
"28","soba",123.02282892186,0,0,7,Inf,0,Inf,1
"29","sobarica",123.435447586441,4,8,4,Inf,12,Inf,1
"30","soba",123.435447586441,0,0,8,Inf,0,Inf,1
"31","recepcioner",150,1,0,2,Inf,1,Inf,1
"32","recepcioner",150,2,0,2,Inf,2,Inf,1
"33","recepcioner",153.780764811089,1,0,2,Inf,1,Inf,1
"34","recepcioner",155.195425301481,0,0,2,Inf,0,Inf,1
"35","soba",157.059986977815,1,0,8,Inf,1,Inf,1
"36","recepcioner",160,1,0,2,Inf,1,Inf,1
